Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
07/15/2021 03:55,07/15/2021 07:38,GBPCHF,Buy,0.010,1.26243,1.26883,1.26563,1.26546,-0.0700,0.0000,-1.7,-0.25,-0.22,7199174,00:03:43:22,0.0,0s,8.0,8.00,0.0,0.0,-8.0,-0.88,0.0,78.7,-1.70,-0.19
07/15/2021 03:55,07/15/2021 07:18,EURGBP,Sell,0.010,0.85831,0.85191,0.85511,0.85519,-0.0700,0.0000,-0.8,-0.18,-0.16,7199174,00:03:23:31,14.3,29m,4.5,2.46,1.3,0.18200000000000002,-3.2,-0.44800000000000006,28.9,53.3,-2.10,-0.29
07/14/2021 03:59,07/14/2021 05:04,USDCAD,Buy,0.010,1.24816,1.25456,1.25136,1.25007,-0.0700,0.0000,-12.9,-1.10,-0.96,7199174,00:01:05:37,0.0,0s,13.1,13.11,0.0,0.0,-13.1,-1.048,0.0,1.5,-12.90,-1.03
07/14/2021 03:56,07/14/2021 04:37,GBPCAD,Buy,0.010,1.72459,1.73099,1.72779,1.72870,-0.0700,0.0000,9.1,0.66,0.58,7199174,00:00:41:23,,,,,,,,,,,,
07/13/2021 03:59,07/13/2021 04:31,USDCAD,Buy,0.010,1.24158,1.24798,1.24478,1.24544,-0.0700,0.0000,6.6,0.46,0.41,7199174,00:00:32:12,,,,,,,,,,,,
07/08/2021 03:56,07/08/2021 09:42,EURCHF,Sell,0.010,1.09491,1.08851,1.09171,1.09109,-0.0700,0.0000,6.2,0.60,0.53,7199174,00:05:46:27,100.0,5h 46m,3.2,0.12,8.1,0.891,0.0,0.0,100.0,76.5,-1.90,-0.21
07/08/2021 03:55,07/08/2021 09:33,EURGBP,Sell,0.010,0.85811,0.85171,0.85491,0.85663,-0.0700,0.0000,-17.2,-2.44,-2.11,7199174,00:05:38:10,4.4,14m,17.5,57.47,0.3,0.042,-17.2,-2.408,1.7,0.0,-17.50,-2.45
07/08/2021 03:58,07/08/2021 08:02,GBPCHF,Buy,0.010,1.27364,1.28004,1.27684,1.27533,-0.0700,0.0000,-15.1,-1.70,-1.45,7199174,00:04:04:10,0.0,0s,17.4,17.42,0.0,0.0,-17.4,-1.914,0.0,13.2,-15.10,-1.66
07/08/2021 03:55,07/08/2021 04:54,USDCAD,Sell,0.010,1.25339,1.24699,1.25019,1.25151,-0.0700,0.0000,-13.2,-1.12,-0.95,7199174,00:00:58:09,,,,,,,,,,,,
07/07/2021 03:55,07/07/2021 06:23,USDCAD,Sell,0.010,1.25019,1.24379,1.24699,1.24668,-0.0700,0.0000,3.1,0.18,0.15,7199174,00:02:28:18,80.0,1h 58m,3.8,0.75,3.6,0.28800000000000003,-2.7,-0.21600000000000003,57.1,92.1,-0.50,-0.04
